10:2:44  [SYSTEM] **Standart Control**
10:2:51  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 2; Y: 1
10:2:51  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 3; Y: 1
10:2:51  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 4; Y: 1
10:2:51  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 5; Y: 1
10:2:51  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 6; Y: 1
10:2:51  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 7; Y: 1
10:2:51  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 8; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 9; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 10; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 11; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 12; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 13; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 14; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 15; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 16; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 17; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 18; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 19; Y: 1
10:2:52  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 20; Y: 1
10:2:53  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 21; Y: 1
10:2:53  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 22; Y: 1
10:2:53  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 23; Y: 1
10:2:53  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 24; Y: 1
10:2:53  [EVENT] Hero was hit by Enemy.
10:2:53  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 25; Y: 1
10:2:53  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 26; Y: 1
10:2:53  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 26; Y: 2
10:2:53  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 27; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 28; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 29; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 30; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 31; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 32; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 33; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 34; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 35; Y: 2
10:2:54  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 36; Y: 2
10:2:54  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 36; Y: 3
10:2:55  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 37; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 38; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 39; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 40; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 41; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 42; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 43; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 44; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 45; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 46; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 47; Y: 3
10:2:56  [EVENT] Hero was hit by Enemy.
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 48; Y: 3
10:2:56  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 49; Y: 3
10:2:57  [EVENT] Hero got plus one XP.
10:2:57  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 49; Y: 4
10:2:57  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 50; Y: 4
10:2:57  [EVENT] Hero was healed by Healing.
10:2:57  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 50; Y: 5
10:2:57  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 51; Y: 5
10:2:57  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 51; Y: 4
10:2:58  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 52; Y: 4
10:2:58  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 53; Y: 4
10:2:58  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 54; Y: 4
10:2:58  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 55; Y: 4
10:2:58  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 56; Y: 4
10:2:58  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 57; Y: 4
10:2:59  [EVENT] Hero got plus one XP.
10:2:59  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 58; Y: 4
10:2:59  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 59; Y: 4
10:2:59  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 59; Y: 5
10:2:59  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 60; Y: 5
10:2:59  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 60; Y: 6
10:2:59  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 61; Y: 6
10:3:0  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 61; Y: 7
10:3:0  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 62; Y: 7
10:3:0  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 63; Y: 7
10:3:0  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 64; Y: 7
10:3:0  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 64; Y: 8
10:3:1  [EVENT] Hero got plus one XP.
10:3:1  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 65; Y: 8
10:3:1  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 64; Y: 8
10:3:1  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 64; Y: 9
10:3:2  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 63; Y: 9
10:3:2  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 62; Y: 9
10:3:2  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 61; Y: 9
10:3:2  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 60; Y: 9
10:3:2  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 60; Y: 10
10:3:3  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 60; Y: 11
10:3:3  [EVENT] Hero ate some magic shroom... new objects were spawned at the field.
10:3:3  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 60; Y: 12
10:3:3  [HERO MOVE] Hero moved Right. New coordinates of Hero: X: 61; Y: 12
10:3:3  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 61; Y: 13
10:3:4  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 60; Y: 13
10:3:4  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 59; Y: 13
10:3:4  [EVENT] Hero got plus one XP.
10:3:4  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 58; Y: 13
10:3:4  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 57; Y: 13
10:3:4  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 56; Y: 13
10:3:4  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 55; Y: 13
10:3:5  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 54; Y: 13
